id,lat,lon,traffic_signals,stop
15368074,33.8455283,-117.9979516,FALSE,FALSE
27389975,33.8468337,-117.9761278,TRUE,FALSE
27389987,33.8468932,-117.9678482,TRUE,FALSE
33131182,33.8327453,-117.9258274,FALSE,FALSE
67543004,33.8593677,-117.9393369,FALSE,FALSE
67543020,33.8593389,-117.941829,TRUE,FALSE
67543057,33.8592067,-117.9593143,TRUE,FALSE
67543067,33.8591745,-117.9648742,FALSE,FALSE
67543130,33.8589736,-118.0024716,TRUE,FALSE
111654380,33.817256,-118.0107983,TRUE,FALSE
111654399,33.8245953,-118.0108719,TRUE,FALSE
111654476,33.8507855,-118.0110966,TRUE,FALSE
111654485,33.8572453,-118.0111545,TRUE,FALSE
111654840,33.8703994,-118.0112691,FALSE,FALSE
111654870,33.8734198,-118.0113949,TRUE,FALSE
111656179,33.8734518,-118.0079001,TRUE,FALSE
111656400,33.8778855,-118.0163793,FALSE,FALSE
111656460,33.8803536,-118.021493,FALSE,FALSE
114948189,33.8734577,-118.0039007,FALSE,FALSE
114948193,33.8734851,-117.9997417,FALSE,FALSE
114948203,33.8734896,-117.9983339,FALSE,FALSE
114948214,33.8768507,-117.998365,TRUE,FALSE
122406385,33.9200006,-117.9943446,FALSE,FALSE
122435898,33.9010776,-118.0142174,FALSE,FALSE
122435932,33.9011819,-118.0154036,FALSE,FALSE
122444770,33.9089337,-117.9818615,FALSE,FALSE
122444773,33.9089552,-117.9815794,FALSE,FALSE
122503883,33.9351333,-118.0131036,FALSE,FALSE
122523812,33.873411,-118.0117428,FALSE,FALSE
122559972,33.905603,-117.9881251,FALSE,FALSE
122560104,33.8957684,-117.9674662,FALSE,FALSE
122560242,33.8538119,-118.0151314,FALSE,FALSE
122560246,33.9042797,-117.8568024,FALSE,FALSE
122560629,33.8495974,-117.952579,FALSE,FALSE
122561537,33.8991703,-118.0259869,FALSE,FALSE
122561544,33.8992022,-118.0225451,FALSE,FALSE
122563526,33.8816169,-118.011476,FALSE,FALSE
122563729,33.8693375,-117.8416931,FALSE,FALSE
