id,lat,lon,traffic_signals,stop
122618984,33.8780663,-117.8842733,True,False
122624368,33.8814294,-117.8975009,False,False
122624380,33.8774671,-117.8974502,False,False
122624382,33.8797928,-117.8974742,False,False
122627428,33.8757432,-117.9049081,False,False
122627430,33.8765542,-117.904924,False,False
122628042,33.8732501,-117.9070307,False,False
122628051,33.8757409,-117.907071,False,False
122628052,33.8765448,-117.907075,False,False
122628053,33.8773509,-117.9070817,False,False
122628054,33.8776977,-117.9070817,False,False
122628055,33.8785089,-117.9070955,False,False
122628057,33.8793203,-117.9071052,False,False
122628059,33.880434,-117.9071099,False,False
122628060,33.8813621,-117.9071367,False,False
122628070,33.8882285,-117.9085572,False,False
122628073,33.8884154,-117.9086472,False,False
122628274,33.8911758,-117.9218764,False,False
122628277,33.8908895,-117.9211594,False,False
122632517,33.88306,-117.9248772,True,False
122632520,33.8827724,-117.9260675,False,False
122635023,33.9030388,-117.8785479,False,False
122635034,33.9030359,-117.8792632,False,False
122635043,33.8930917,-117.8771766,False,False
122635045,33.8958519,-117.8772083,False,False
122635047,33.8963583,-117.8772294,True,False
122635049,33.8969283,-117.8772649,False,False
122635052,33.8992123,-117.8772347,False,False
122635054,33.899611,-117.8772289,False,False
122635996,33.8812726,-117.9178601,False,False
122635999,33.8812474,-117.9172499,False,False
122636602,33.881401,-117.9015628,False,False
122652093,33.8999115,-117.9069258,False,False
122652619,33.8738429,-117.8790284,True,False
122655577,33.9031078,-117.9108298,False,False
122655587,33.9031641,-117.90645,False,False
122655589,33.9031862,-117.9050677,False,False
122655597,33.9032003,-117.9041411,False,False
122655601,33.9032215,-117.9028168,False,False
122661590,33.8822532,-117.9052484,False,False
122661592,33.883123,-117.9036645,False,False
122662313,33.8984994,-117.8790884,False,False
122662322,33.8972647,-117.8790705,False,False
122673292,33.8766996,-117.9109776,False,False
122673295,33.8776698,-117.9110902,False,False
122673307,33.8740614,-117.9108459,False,False
122673314,33.8792909,-117.9110815,False,False
122673316,33.8813344,-117.9111066,False,False
122673320,33.8829031,-117.9109351,False,False
122678620,33.8871905,-117.9193131,False,False
122678830,33.8750707,-117.89836,False,False
122678833,33.8758409,-117.8983738,False,False
122678836,33.8774546,-117.898385,False,False
122678838,33.879662,-117.898414,False,False
122678842,33.8814152,-117.8984396,False,False
122678848,33.8846346,-117.8985192,False,False
122678851,33.8854955,-117.8985158,False,False
122678854,33.8864476,-117.8985064,False,False
122678867,33.8912737,-117.9012409,False,False
122678870,33.8921866,-117.9012914,False,False
122679674,33.8793474,-117.9065252,False,False
122680825,33.9022697,-117.9107941,False,False
122683037,33.8750231,-117.9009095,False,False
122683039,33.8758142,-117.9009219,False,False
122683041,33.8766204,-117.9009538,False,False
122683043,33.8773023,-117.9012289,False,False
122683050,33.8719356,-117.8998282,False,False
122683053,33.8726792,-117.899844,False,False
122683054,33.8741519,-117.8998753,False,False
122683058,33.8750421,-117.8998942,False,False
122683065,33.8838862,-117.9022663,False,False
122683075,33.8831753,-117.9193087,False,False
122683077,33.8833006,-117.9187869,False,False
122683079,33.8834312,-117.9180265,False,False
122683081,33.8833004,-117.9170567,False,False
122683090,33.8840659,-117.9152309,False,False
122683093,33.8840737,-117.9120977,False,False
122683106,33.8835376,-117.8928785,False,False
122683655,33.8812097,-117.9246072,True,False
122686316,33.8841482,-117.8926519,False,False
122690615,33.8722673,-117.8832888,False,False
122690617,33.8715719,-117.8828117,False,False
122690619,33.8708535,-117.8823647,False,False
122701719,33.8900142,-117.9150025,False,False
122716983,33.8984,-117.9091009,False,False
122720994,33.8719207,-117.904344,False,False
122720995,33.8725369,-117.9043569,False,False
122723257,33.8992027,-117.8781027,False,False
122723833,33.901103,-117.898414,False,False
122723842,33.9006981,-117.913692,False,False
122723847,33.9007139,-117.912722,False,False
122723848,33.9007448,-117.9108263,False,False
122723857,33.9010931,-117.8930467,False,False
122725039,33.9008745,-117.9061069,False,False
122725041,33.9008899,-117.9050274,False,False
122725042,33.9008926,-117.9045285,False,False
122727851,33.8854754,-117.9009466,False,False
